Source title,CiteScore,SNIP,SJR,PC1_score,impact_index,tier
Nature,78.1,10.161,18.288,26.440366017546758,100,A: Excellent
Annual Review of Psychology,58,13.631,13.786,23.00728219458573,87.42911013491599,A: Excellent
Annual Review of Organizational Psychology and Organizational Behavior,35,11.141,12.191,17.371634187896802,66.79311227880684,A: Excellent
Science,48.4,6.623,10.416,15.412870709359096,59.62072697444549,A: Excellent
Innovation,53.4,7.16,8.218,15.078458454190706,58.396212850688855,A: Excellent
Psychological Science in the Public Interest,35.2,12.668,5.852,14.438530038027977,56.0529931520271,A: Excellent
Organizational Research Methods,33.2,8.377,10.181,14.23294978657053,55.300221931521655,A: Excellent
Qualitative Research in Psychology,36.6,11.581,6.248,14.21999744575666,55.25279447030525,A: Excellent
Psychological Bulletin,28.9,8.937,8.696,13.069602822111186,51.040405591679196,A: Excellent
Nature Climate Change,42.2,6.174,8.046,12.840272444510427,50.200668763741575,A: Excellent
Morbidity and Mortality Weekly Report,39.4,4.82,9.559,12.567065113322132,49.20026811877876,A: Excellent
The Lancet Planetary Health,35.7,7.027,6.386,11.44340708482484,45.08578037228565,A: Excellent
The Lancet Digital Health,38.4,5.393,6.838,11.10913966431732,43.861796588207376,A: Excellent
Nature Reviews Psychology,17.9,7.955,7.064,9.968044192004696,39.68345832217114,A: Excellent
Educational Psychologist,26.9,6.421,5.794,9.506718435009478,37.99422625497637,A: Excellent
Advances in Methods and Practices in Psychological Science,21.4,6.462,6.947,9.4804130189713,37.89790396722461,A: Excellent
Nature Human Behaviour,31,5.296,5.537,9.237138033069103,37.00710630179834,A: Excellent
Administrative Science Quarterly,15.9,3.422,10.393,9.005169074034068,36.15770780571603,A: Excellent
Foreign Affairs,4.2,14.832,0.642,8.288232744909665,33.53250897619045,A: Excellent
Perspectives on Psychological Science,25.9,4.965,5.393,8.248694387437396,33.387731754642296,A: Excellent
Trends in Cognitive Sciences,26.9,5.512,4.506,8.17230414809185,33.10801435329087,A: Excellent
Psychotherapy and Psychosomatics,24.6,5.063,4.904,7.829625567800685,31.853231506698986,A: Excellent
The Lancet Child and Adolescent Health,27.7,4.928,4.289,7.798534983190411,31.73938741341969,A: Excellent
Journal of Service Research,24.6,3.392,6.011,7.502549760015282,30.655581181442027,A: Excellent
Journal of Consumer Research,13.4,3.324,8.562,7.482173930088683,30.580971201865108,A: Excellent
Personality and Social Psychology Review,18,5.156,5.493,7.338219915058593,30.053856175871047,A: Excellent
The Lancet Healthy Longevity,22.3,4.212,5.166,7.16210902542664,29.408992632837666,A: Excellent
European Review of Social Psychology,22,4.784,4.544,7.0840974351684585,29.12333834651446,A: Excellent
Journal of Applied Psychology,17.4,3.331,6.803,6.960266975827444,28.669909549959172,A: Excellent
Qualitative Psychology,16,6.353,3.904,6.810431863173664,28.121259765617886,A: Excellent
Educational Psychology Review,17.9,5.296,4.384,6.730088931826702,27.827068830154634,A: Excellent
Human Resource Management Review,24.7,4.129,3.934,6.688501548788245,27.674788711487853,A: Excellent
Leadership Quarterly,18.3,3.826,5.393,6.518877851963124,27.05367925967788,A: Excellent
American Journal of Political Science,11.5,4.478,6.28,6.518289619743503,27.051525335442626,A: Excellent
Nature Communications,23.4,3.15,4.761,6.427263465684297,26.71821574659213,A: Excellent
International Organization,15.3,4.752,4.977,6.4083593901111335,26.648994875711523,A: Excellent
Exploration,27.8,2.605,4.231,6.380527228287565,26.547082117668374,A: Excellent
Sociological Methods and Research,18.6,4.795,4.064,6.329436253071447,26.360002787345582,A: Excellent
International Journal of Management Reviews,20.1,4.102,4.054,6.113070047113464,25.567736741456276,A: Excellent
Technological Forecasting and Social Change,26.3,3.255,3.472,6.100544874100956,25.52187343645094,A: Excellent
Psychological Methods,18,3.609,4.925,6.060848937105212,25.37651920748416,A: Excellent
Review of Economics and Statistics,8.3,3.253,7.425,6.0424528828454305,25.309158553338417,A: Excellent
American Political Science Review,9.3,4.764,5.532,5.929981083701733,24.897321653083587,A: Excellent
Journal of International Business Studies,17,3.458,5.078,5.926172429524363,24.88337554088041,A: Excellent
International Journal of Transgender Health,13.2,5.842,3.422,5.823307173249636,24.50671482583328,A: Excellent
Personnel Psychology,11.6,3.583,5.414,5.464238197235766,23.191915425582785,B: Preferred
Science Advances,19.6,2.636,4.324,5.328341468715741,22.694303687755475,B: Preferred
American Sociological Review,12.4,4.152,4.203,5.175330793855154,22.134025977962878,B: Preferred
World Politics,10.7,4.882,3.81,5.139860675284992,22.004145387496436,B: Preferred
Computers in Human Behavior,20.7,3.354,2.923,5.054001719798518,21.689756479735742,B: Preferred
Human Relations,14,3.347,4.148,4.877865320205708,21.044799527125157,B: Preferred
"Qualitative Research in Sport, Exercise and Health",16,3.854,3.193,4.87335434063948,21.02828171683127,B: Preferred
Communications in Transportation Research,19.9,3.214,2.836,4.806601367771806,20.783853001029414,B: Preferred
Technology in Society,21.9,2.969,2.559,4.7649151326360935,20.631210916593197,B: Preferred
American Psychologist,16,3.632,3.2,4.744200781797056,20.555361378261892,B: Preferred
Government Information Quarterly,18.4,3.197,2.861,4.605389016514124,20.047075678484084,B: Preferred
Political Analysis,11.3,3.226,4.353,4.559240760249968,19.878095054392585,B: Preferred
Journal of Advanced Research,22.1,2.516,2.576,4.530539298624475,19.77299918966365,B: Preferred
"Trauma, Violence, and Abuse",12.6,4.13,3.093,4.510473486752106,19.69952440020061,B: Preferred
Social Issues and Policy Review,17.4,3.616,2.407,4.441934381169683,19.448555419494255,B: Preferred
International Review of Sport and Exercise Psychology,17.5,3.369,2.614,4.433874306693886,19.41904192266031,B: Preferred
Business and Society,16,3.085,3.113,4.362188422258345,19.156550412230754,B: Preferred
National Science Review,19.5,2.481,2.903,4.352003134883498,19.119255043857542,B: Preferred
Autism in Adulthood,14.7,3.623,2.832,4.334850307503066,19.05644670156422,B: Preferred
Journal of Personality and Social Psychology,11.9,3.121,3.865,4.28006848230564,18.855852621524786,B: Preferred
Monographs of the Society for Research in Child Development,14.4,3.936,2.47,4.260240553859185,18.78324888750405,B: Preferred
Human Resource Management,14.1,2.788,3.663,4.258881674500756,18.778273092086387,B: Preferred
Journal of the American Academy of Child and Adolescent Psychiatry,16.6,2.88,3.005,4.255407765801858,18.765552714167523,B: Preferred
International Security,8.5,5.374,2.371,4.2525920492226765,18.755242431974164,B: Preferred
Psychology and Marketing,15.9,2.482,3.497,4.220939044141257,18.639338929089615,B: Preferred
Proceedings of the National Academy of Sciences of the United States of America,16.5,2.383,3.414,4.193167201092376,18.537647039720955,B: Preferred
Comparative Political Studies,8.7,3.378,4.169,4.180454959193653,18.491098746382363,B: Preferred
Science Bulletin,20.3,2.24,2.614,4.1403469731040605,18.344235721229744,B: Preferred
Organizational Psychology Review,11.4,3.372,3.434,4.0984705817343094,18.190897343548578,B: Preferred
Current Directions in Psychological Science,13.3,3.164,3.211,4.098310277383541,18.19031035865618,B: Preferred
Journal of Organizational Behavior,12,2.765,3.862,4.07800652707557,18.115964312322387,B: Preferred
Applied Psychology,15,2.966,2.958,4.058300151296404,18.043805666529057,B: Preferred
International Journal of Press/Politics,12.9,3.639,2.748,4.045524815227003,17.997026341875294,B: Preferred
Journal of Consumer Psychology,10.5,2.329,4.547,4.0287604798973025,17.935640537170638,B: Preferred
Quaderni Fiorentini per la Storia del Pensiero Giuridico Moderno,0.4,8.7,0.529,4.010763095431904,17.869739688359157,B: Preferred
International Journal of Consumer Studies,19.7,2.56,2.22,4.009107850188459,17.863678692843727,B: Preferred
Journal of Metaverse,20.5,2.453,1.955,3.892678483265834,17.437350404889663,B: Preferred
Journal of Public Administration Research and Theory,10.7,3.142,3.454,3.876193637506482,17.376988004444406,B: Preferred
Current Opinion in Psychology,13.2,2.841,3.036,3.783342119159599,17.036994496817854,B: Preferred
Journal of Child Psychology and Psychiatry and Allied Disciplines,14.1,2.667,2.988,3.773162740233587,16.999720763354656,B: Preferred
New Media and Society,13.7,3.317,2.4,3.749084000734543,16.91155187557275,B: Preferred
Journal of Educational Psychology,11.9,3.145,2.833,3.6630781037156863,16.59662491342264,B: Preferred
Journal of Democracy,7.9,4.067,2.811,3.653692434741771,16.562257500022444,B: Preferred
Public Administration Review,11.9,2.943,2.964,3.62181365030207,16.445527263043086,B: Preferred
