subcategory,rank_in_subcategory,percentile_in_subcategory,Source title,tier,Publisher,SJR,impact_index,cluster_raw
Anthropology,1,100,Journal of Consumer Research,A: Elite,Oxford University Press,8.562,100,1
Anthropology,2,99.87179487179488,Journal of Peasant Studies,B: Excellent,Taylor & Francis,2.248,24.931637141838074,3
Anthropology,3,99.74358974358975,Social Media and Society,B: Excellent,SAGE,2.169,23.992390916656763,3
Anthropology,4,99.61538461538461,Journal of Research on Adolescence,B: Excellent,John Wiley & Sons,2.03,22.339793128046605,3
Anthropology,5,99.48717948717949,Group Processes and Intergroup Relations,B: Excellent,SAGE,1.99,21.864225419094044,3
Anthropology,6,99.35897435897436,Race Ethnicity and Education,B: Excellent,Taylor & Francis,1.681,18.1904648674355,3
Anthropology,7,99.23076923076923,Virtual Economics,B: Excellent,The London Academy of Science and Business,1.618,17.441445725835216,3
Anthropology,8,99.1025641025641,Journal of Marriage and Family,B: Excellent,John Wiley & Sons,1.609,17.334442991320888,3
Anthropology,9,98.97435897435898,Human Communication Research,B: Excellent,John Wiley & Sons,1.602,17.251218642254194,3
Anthropology,10,98.84615384615385,Journal of Language and Social Psychology,B: Excellent,SAGE,1.593,17.144215907739866,3
Anthropology,11,98.71794871794873,Social Forces,B: Excellent,Oxford University Press,1.566,16.823207704196886,3
Anthropology,12,98.58974358974359,Quantitative Science Studies,B: Excellent,MIT Press,1.486,15.872072286291761,3
Anthropology,13,98.46153846153847,Journal of Racial and Ethnic Health Disparities,B: Excellent,Springer Nature,1.46,15.562953275472596,3
Anthropology,14,98.33333333333333,Sociology of Race and Ethnicity,B: Excellent,SAGE,1.454,15.49161811912971,3
Anthropology,15,98.2051282051282,Evolutionary Anthropology,B: Excellent,John Wiley & Sons,1.405,14.909047675662823,3
Anthropology,16,98.07692307692307,Journal of Human Evolution,B: Excellent,Elsevier,1.393,14.766377362977053,3
Anthropology,17,97.94871794871794,Social Movement Studies,B: Excellent,Taylor & Francis,1.381,14.623707050291285,3
Anthropology,18,97.82051282051282,Science Technology and Human Values,B: Excellent,SAGE,1.29,13.541790512424207,3
Anthropology,19,97.6923076923077,Information Society,B: Excellent,Taylor & Francis,1.245,13.006776839852577,3
Anthropology,20,97.564102564102555,Journal of Race Ethnicity and the City,B: Excellent,Taylor & Francis,1.22,12.709547021757222,3
Anthropology,21,97.43589743589743,American Ethnologist,B: Excellent,John Wiley & Sons,1.197,12.4360955891095,3
Anthropology,22,97.3076923076923,Chinese Sociological Review,B: Excellent,Taylor & Francis,1.189,12.340982047318988,3
Anthropology,23,97.17948717948718,Journal of Agrarian Change,B: Excellent,John Wiley & Sons,1.186,12.305314469147545,3
Anthropology,24,97.05128205128204,Ethnicity and Health,B: Excellent,Taylor & Francis,1.178,12.210200927357032,3
Anthropology,25,96.92307692307692,Poetics,B: Excellent,Elsevier,1.176,12.186422541909405,3
Anthropology,26,96.7948717948718,Journal of Cross-Cultural Psychology,B: Excellent,SAGE,1.175,12.174533349185591,3
Anthropology,27,96.66666666666667,"Discourse, Context and Media",B: Excellent,Elsevier,1.171,12.126976578290336,3
Anthropology,27,96.66666666666667,Journal of Global Fashion Marketing,B: Excellent,Taylor & Francis,1.171,12.126976578290336,3
Anthropology,28,96.53846153846153,Social Networks,B: Excellent,Elsevier,1.168,12.09130900011889,3
Anthropology,29,96.41025641025641,Global Media and China,B: Excellent,SAGE,1.122,11.544406134823447,3
Anthropology,30,96.28205128205128,Social and Cultural Geography,B: Excellent,Taylor & Francis,1.12,11.520627749375818,3
Anthropology,31,96.15384615384616,Television and New Media,B: Excellent,SAGE,1.11,11.401735822137677,3
Anthropology,32,96.02564102564102,Journal of Multilingual and Multicultural Development,B: Excellent,Taylor & Francis,1.088,11.14017358221377,3
Anthropology,33,95.8974358974359,"Pedagogy, Culture and Society",C: Preferred,Taylor & Francis,1.055,10.747830222327902,2
Anthropology,34,95.76923076923077,Tourism Recreation Research,C: Preferred,Taylor & Francis,1.036,10.521935560575438,2
Anthropology,34,95.76923076923077,Ethnic and Racial Studies,C: Preferred,Taylor & Francis,1.036,10.521935560575438,2
Anthropology,35,95.64102564102565,Qualitative Inquiry,C: Preferred,SAGE,1.032,10.474378789680182,2
Anthropology,36,95.51282051282051,European Journal of Cultural Studies,C: Preferred,SAGE,1.01,10.212816549756273,2
Anthropology,37,95.38461538461537,Identity,C: Preferred,Taylor & Francis,1.008,10.189038164308643,2
Anthropology,38,95.25641025641025,Journal of Black Psychology,C: Preferred,SAGE,1,10.09392462251813,2
Anthropology,39,95.12820512820512,Evolutionary Human Sciences,C: Preferred,Cambridge University Press,0.991,9.986921888003804,2
Anthropology,39,95.12820512820512,Smart and Sustainable Built Environment,C: Preferred,Emerald Publishing,0.991,9.986921888003804,2
Anthropology,40,95,Journal of Politeness Research,C: Preferred,Walter de Gruyter,0.99,9.97503269527999,2
Anthropology,41,94.87179487179486,"Mind, Culture, and Activity",C: Preferred,Taylor & Francis,0.987,9.939365117108547,2
Anthropology,42,94.74358974358974,Cultural Anthropology,C: Preferred,John Wiley & Sons,0.983,9.891808346213292,2
Anthropology,43,94.61538461538461,Cambridge Archaeological Journal,C: Preferred,Cambridge University Press,0.974,9.784805611698966,2
Anthropology,44,94.48717948717949,Cultural Trends,C: Preferred,Taylor & Francis,0.967,9.701581262632267,2
Anthropology,45,94.35897435897435,American Behavioral Scientist,C: Preferred,SAGE,0.961,9.630246106289382,2
Anthropology,46,94.23076923076923,Journal of Contemporary Asia,C: Preferred,Taylor & Francis,0.96,9.618356913565568,2
Anthropology,47,94.1025641025641,Africa Spectrum,C: Preferred,Institut fur Afrika-Kunde,0.912,9.047675662822495,2
Anthropology,48,93.97435897435898,Perspectives: Studies in Translation Theory and Practice,C: Preferred,Taylor & Francis,0.911,9.03578647009868,2
Anthropology,49,93.84615384615384,Cross-Cultural Research,C: Preferred,SAGE,0.909,9.012008084651054,2
Anthropology,50,93.71794871794872,Consumption Markets and Culture,C: Preferred,Taylor & Francis,0.898,8.881226964689098,2
Anthropology,51,93.58974358974359,Games and Culture,C: Preferred,SAGE,0.888,8.762335037450958,2
Anthropology,51,93.58974358974359,Archaeological and Anthropological Sciences,C: Preferred,Springer Nature,0.888,8.762335037450958,2
Anthropology,52,93.46153846153847,Journal of Children and Media,C: Preferred,Taylor & Francis,0.884,8.714778266555701,2
Anthropology,53,93.33333333333333,Discourse Studies,C: Preferred,SAGE,0.883,8.702889073831887,2
Anthropology,54,93.2051282051282,Crime Science,C: Preferred,Springer Nature,0.881,8.67911068838426,2
Anthropology,55,93.07692307692308,Nordicom Review,C: Preferred,Walter de Gruyter,0.868,8.524551182974676,2
Anthropology,56,92.94871794871796,Frontiers in Sports and Active Living,C: Preferred,Frontiers Media S.A.,0.864,8.476994412079419,2
Anthropology,57,92.82051282051282,American Journal of Biological Anthropology,C: Preferred,John Wiley & Sons,0.861,8.441326833907977,2
Anthropology,58,92.6923076923077,Media International Australia,C: Preferred,SAGE,0.858,8.405659255736534,2
Anthropology,59,92.56410256410257,China Economic Journal,C: Preferred,Taylor & Francis,0.857,8.393770063012722,2
Anthropology,60,92.435897435897445,Journal of Language and Sexuality,C: Preferred,John Benjamins Publishing Company,0.854,8.358102484841279,2
Anthropology,60,92.435897435897445,Feminist Anthropology,C: Preferred,John Wiley & Sons,0.854,8.358102484841279,2
Anthropology,60,92.435897435897445,Journal of the Royal Anthropological Institute,C: Preferred,John Wiley & Sons,0.854,8.358102484841279,2
Anthropology,60,92.435897435897445,Past and Present,C: Preferred,Oxford University Press,0.854,8.358102484841279,2
Anthropology,61,92.3076923076923,Science as Culture,C: Preferred,Taylor & Francis,0.849,8.298656521222208,2
Anthropology,62,92.17948717948718,"Archaeology, Ethnology and Anthropology of Eurasia",C: Preferred,Elsevier,0.846,8.262988943050766,2
Anthropology,63,92.05128205128206,Personal Relationships,C: Preferred,John Wiley & Sons,0.84,8.191653786707882,2
Anthropology,63,92.05128205128206,Journal of Cultural Economy,C: Preferred,Taylor & Francis,0.84,8.191653786707882,2
Anthropology,64,91.92307692307692,Anthropological Theory,C: Preferred,SAGE,0.838,8.167875401260254,2
Anthropology,65,91.7948717948718,Body and Society,C: Preferred,SAGE,0.815,7.894423968612531,2
Anthropology,65,91.7948717948718,Celebrity Studies,C: Preferred,Taylor & Francis,0.815,7.894423968612531,2
Anthropology,66,91.66666666666666,Cultural Sociology,C: Preferred,SAGE,0.808,7.8111996195458335,2
Anthropology,67,91.53846153846153,Anthropology and Education Quarterly,C: Preferred,John Wiley & Sons,0.807,7.799310426822019,2
Anthropology,68,91.41025641025641,American Anthropologist,C: Preferred,John Wiley & Sons,0.802,7.739864463202949,2
Anthropology,68,91.41025641025641,International Journal of Heritage Studies,C: Preferred,Taylor & Francis,0.802,7.739864463202949,2
